year,horse_count
1921,385806
1922,
1923,
1924,
1925,
1926,455757
1927,
1928,
1929,
1930,
1931,
1932,
1933,410876
1934,407817
1935,401848
1936,396849
1937,403565
1938,389399
1939,
1940,
1941,
1942,
1943,
1944,
1945,449000
1946,450000
1947,438105
1948,417265
1949,404794
1950,399604
1951,378782
1952,353550
1953,345141
1954,335015
1955,333050
1956,336732
1957,334358
1958,314703
1959,276804
1960,235574
1961,200544
1962,176532
1963,149779
1964,132578
1965,115413
1966,104179
1967,96541
1968,90339
1969,84197
1970,75152
1971,66280
1972,57158
1973,48106
1974,40564
1975,35188
1976,30506
1977,27978
1978,26423
1979,25504
1980,24788
1981,24400
1982,24127
1983,24801
1984,25754
1985,26833
1986,27773
1987,27695
1988,27622
1989,26975
1990,26924
1991,25267
1992,21370
1993,18792
1994,18131
1995,18039
1996,19175
1997,19059
1998,20718
1999,22675
2000,23835
2001,25795
2002,38754
2003,43708
2004,49482
2005,54884
2006,59022
2007,63033
2008,66386
2009,71223
2010,73932
2011,76365
2012,79473
2013,81124
2014,82105
2015,84703
2016,87287
2017,90219
2018,92735
2019,94906
2020,97172
2021,99260
2022,101887
2023,104771
2024,107518
2025,110176
